% Model:              galvanized_nail.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 29 2024, 17:38
% Table:              Table 5 - 
% r-coordinate (mm)      Oxygen reduction
0                        -0.21206413526978465
0.0219762594983022       -0.20912052463249614
0.0439525189966044       -0.20621758913135543
0.0659287784949066       -0.20335476894018004
0.0879050379932088       -0.2005315119108492
0.109881297491511        -0.19807409400127907
0.1318575569898132       -0.19564665234656284
0.1538338164881154       -0.19324882276032349
0.1758100759864176       -0.1908802454649922
0.19778448520048408      -0.1890100220438378
0.2197588944145506       -0.18715803662944486
0.24173330362861709      -0.18532411210175787
0.26370771284268363      -0.18350807305457809
0.2850000393678363       -0.18215310835827303
0.30629236589298897      -0.18080809962008226
0.3275846924181417       -0.1794729739969545
0.3488770189432944       -0.17814765917680037
0.36855032999176224      -0.177183081532365
0.38822364104023016      -0.17622370012495414
0.4078969520886981       -0.17526948708569765
0.4275702631371659       -0.17432041469461648
0.44541627763345426      -0.17366888728544896
0.46326229212974257      -0.17301978187628758
0.48110830662603093      -0.17237308950559332
0.4989543211223193       -0.17172880124484918
0.515142762946511        -0.17134163742846625
0.5313312047707028       -0.17095534118251213
0.5475196465948946       -0.1705699105730505
0.5637080884190863       -0.1701853436704378
0.5783929159304171       -0.16996090526798552
0.5930777434417478       -0.16973676066585286
0.6077625709530785       -0.16951290948185052
0.6224473984644093       -0.16928935133428377
0.6357682701489548       -0.16921628380845746
0.6490891418335003       -0.1691432473192889
0.6624100135180458       -0.16907024185375993
0.6757308852025913       -0.16899726739885704
0.6878144878932022       -0.16905602958213803
0.6998980905838131       -0.16911481219648436
0.7119816932744241       -0.16917361524899896
0.724065295965035        -0.16923243874678762
0.7350265497060827       -0.16940132927791854
0.7459878034471303       -0.1695703880830922
0.7569490571881781       -0.16973961532971496
0.7679103109292258       -0.16990901118536
0.7778534619533336       -0.17018715440685547
0.7877966129774413       -0.17046575180011717
0.7977397640015491       -0.17074480410504803
0.8076829150256569       -0.17102431206275287
0.8167025273031441       -0.1713998033683623
0.8257221395806312       -0.17177611666905085
0.8347417518581183       -0.17215325375952523
0.8437613641356054       -0.1725312164383996
0.8519432154745229       -0.17301478046233304
0.8601250668134403       -0.17349969549015362
0.8683069181523577       -0.17398596528560187
0.8764887694912752       -0.17447359362287512
0.8839106752513216       -0.17507300759191807
0.8913325810113679       -0.17567447400003236
0.8987544867714142       -0.17627799985393786
0.9061763925314607       -0.1768835921842085
0.9129089367112078       -0.17762868123264633
0.9196414808909549       -0.1783768979713542
0.926374025070702        -0.17912825548904837
0.9331065692504491       -0.17988276692906674
0.9392137775075118       -0.18081811441648948
0.9453209857645744       -0.18175830825863323
0.951428194021637        -0.18270337348687454
0.9575354022786996       -0.18365333526151426
0.9630753577579658       -0.18491764324395768
0.968615313237232        -0.1861906235488759
0.9741552687164983       -0.18747233547151151
0.9796952241957644       -0.18876283871135993
0.9847714181468233       -0.19083666225400425
0.9898476120978822       -0.19293318602749843
0.9949238060489412       -0.19505265769957278
1                        -0.09958364045426746
1                        -0.0028148783335444237
1                        -0.0028197317081242257
1                        -0.0028245934468478597
1                        -0.0028294635641226517
1                        -0.0028343420743807313
1                        -0.002797131178012369
1                        -0.0028015574534890684
1                        -0.002805990730519946
1                        -0.002810431020175682
1                        -0.0027813087136575117
1                        -0.002785255921631722
1                        -0.002789208729718634
1                        -0.002793167145860884
1                        -0.0027670499259009186
1                        -0.0027706077566119164
1                        -0.002774170160888484
1                        -0.002777737144608528
1                        -0.0027542874965128875
1                        -0.002757472575569524
1                        -0.002760661337314002
1                        -0.0027638537860037063
1                        -0.002742858714860835
1                        -0.0027457114570469342
1                        -0.0027485671659937404
1                        -0.0027514258447863065
1                        -0.0027326368018045382
1                        -0.0027351887033135783
1                        -0.002737742987842146
1                        -0.0027402996576154654
1                        -0.0027234438197457113
1                        -0.002725739161860931
1                        -0.002728036438488662
1                        -0.0027303356512592813
1                        -0.0027151192995916625
1                        -0.0027171980411316455
1                        -0.002719278374191496
