% Model:              galvanized_nail.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 15 2024, 10:44
% Dimension:          2
% Nodes:              980
% Expressions:        0
% Description:        
% Length unit:        mm
% R                       Z
1.3054553841392407        -1.3011604280960591
1.4444444444444444        -1
1                         -1
1                         -1.448263558009389
1.6842735428823654        -1.339421110704541
1.888888888888889         -1
1                         -1.8965271160189483
1.3985589333693937        -1.7181174717663659
1                         -2.3447906740285074
1.3643126711824223        -2.1848527032290903
2.333333333333333         -1
2.153072388885829         -1.3583836784153749
5.200390148640361         -0.21265102846058342
5                         0
5                         -0.3333333333333335
1.3567965602596357        -2.606678860027703
1                         -2.7930542320380667
2.7777777777777777        -1
2.578852221663469         -1.404705643037452
3.2222222222222223        -1
3.001642295868557         -1.42091696359545
1                         -3.241317790047626
1.3891725956407541        -3.0416223025407128
1                         -3.6895813480571853
1.417025096919806         -3.4672066832316912
43.022724671926284        -2.0657916840711343
45                        -3.0000000000000004
45                        0
41.98530859295056         0
5.470042206025292         0
5                         -0.6666666666666667
5.3598141692043235        -0.43875406669175143
1                         -4.137844906066745
1.4174263229962156        -3.916488374696541
3.666666666666667         -1
3.4540872770257174        -1.4558591616411833
3.881815322993932         -1.48128560510321
4.111111111111112         -1
4.327801362995491         -1.4388291684728907
4.555555555555556         -1
4.744892760480683         -1.4007041993913094
5                         -1
1                         -4.586108464076304
1.423123154374287         -4.364307340673991
1                         -5.034372022085863
1.4270676800273663        -4.80738305978963
1                         -5.4826355800954225
1.4216448937755939        -5.260607024899019
1                         -5.930899138104982
1.422930640606446         -5.712748717282211
1                         -6.379162696114541
1.4224392599675861        -6.155924160958965
1                         -6.8274262541241
1.4169857044661978        -6.607430002251526
42.72806543985894         -4.559791565044845
45                        -6.000000000000001
38.97061718590109         0
40.368098301651116        -2.721301643063887
5.395830892767009         -0.8472076920518335
5.760173112102276         -0.3274130114578693
5.9866841429071975        0
1                         -7.27568981213366
1.422190291328185         -7.059072047546053
1                         -7.723953370143219
1.426037432670699         -7.503612069048597
42.98084009223349         -43.04646801308259
45                        -45
45                        -41.99999999999999
42.03965830920634         -45
42.62905138646345         -7.5171080717935
45                        -9.000000000000004
37.247556054908465        -2.4558296764352368
35.95592577885162         0
6.240729352997575         -0.5009684778525039
6.557031744958409         0
6.917250320027565         -0.5051535122323472
7.186667660240995         0
1                         -8.172216928152778
1.423016553754507         -7.956636652715801
45                        -38.99999999999999
42.36079396001946         -40.45097483157577
40.50374819194169         -42.781365233837164
39.07931661841266         -45
42.57309779629416         -10.500114161788645
45                        -12.000000000000002
34.30438094520029         -2.451819272518424
32.94127906239478         0
7.881755111639952         0
7.5446858580136515        -0.6239135158027618
1                         -8.620480486162338
1.4259110821126602        -8.408290664919923
1                         -9.068744044171897
1.426640479705602         -8.851800019091101
1                         -9.517007602181456
1.4190711270847471        -9.302382298112562
1                         -9.965271160191016
1.4214530174688236        -9.749852036174728
42.57687932279729         -37.33902564104254
45                        -36.00000000000001
37.56868977386481         -42.6921162530372
36.11897492761899         -45
42.56587310779852         -13.500347177065741
45                        -15.000000000000004
42.55599505940487         -34.42770104427282
45                        -33
42.56878689691699         -16.50306500461833
45                        -18.000000000000004
42.545366854705144        -31.472317058281117
45                        -30
42.552128716439476        -28.48673224879656
45                        -27
42.569159960457846        -19.49528361947596
45                        -21
42.564553913031595        -22.49493138632593
45                        -24
42.560049729283605        -25.49556906255697
8.258952805150955         -0.6871715873880796
8.649097705424293         0
9.08637260964103          -0.7033158529759543
9.496206504663121         0
31.431628277314655        -2.35336319415747
29.975292323726492        0
1                         -10.413534718200575
1.4213099339110764        -10.195583958176387
1                         -10.861798276210134
1.4042715529311887        -10.639949074391794
1.3803390967461153        -11.076907754335611
1                         -11.310061834219693
34.616999367168276        -42.62658912816576
33.158633236825324        -45
10.43137336020175         0
9.977404871794548         -0.8928766100408971
10.904173538111905        -0.9604983690419892
11.46375191443881         0
12.014244851321894        -0.9942170392132949
12.603447561150524        0
28.583739716865615        -2.2447051141234344
27.199813578557766        0
1                         -11.758325392229253
1.3906204696288609        -11.510116488454601
1                         -12.206588950238812
1.3931393473184577        -11.929043323419357
31.654373841937403        -42.63817648385855
30.19829154603166         -45
25.963568761447988        -2.070510792656939
24.685681927799575        0
22.408288180741508        0
23.707081963684317        -1.9522333975680706
13.861615944742525        0
13.253030779098168        -1.1529084355669088
14.518781436880488        -1.2958333611030834
15.250572499117716        0
16.783912833041516        0
16.054827158487797        -1.3300457067921472
18.476645780549187        0
17.754064615849792        -1.5728966448563249
20.345340416111284        0
19.48312409415035         -1.8085672605495005
21.51812865479016         -1.8774441013238523
1                         -12.654852508248371
1                         -13.10311606625793
1.403942055317673         -12.821852850876365
1.4072185495066278        -12.38408560177885
28.724894471069472        -42.6557154190863
27.237949855237986        -45
25.85223632307583         -42.72553976623334
24.297465483450367        -45
1                         -13.551379624267492
1                         -13.999643182277055
1.414316678064155         -13.71698877839955
1.4143178366529139        -13.286838747504696
1                         -14.447906740286616
1.4121855572464972        -14.184401671268109
1                         -14.896170298296173
1.4013791034689305        -14.616288002562746
1                         -15.344433856305736
1                         -15.792697414315299
1.4007553767171281        -15.526835433038757
1.406170010105812         -15.084024599607623
23.154329175750476        -42.81832912048812
21.8523136812733          -45
1                         -16.240960972324856
1.407314231350133         -15.979416310984355
1                         -16.689224530334418
1.399005732190647         -16.410773233217345
1                         -17.13748808834398
1.4059366112530778        -16.875249122230123
